years,value,spend_unit,visit_night_unit,breakdown_of_domestic_tourism,region_of_residence
2009-2011,60,million (£),NA,Expenditure,All of GB
2013-2015,18,million (£),NA,Expenditure,England
2015-2017,366,NA,Thousand,Nights,England
2012-2014,207,NA,Thousand,Visits,Scotland
2013-2015,223,NA,Thousand,Visits,Scotland
2016-2018,329,NA,Thousand,Nights,England
2012-2014,929,NA,Thousand,Nights,All of GB
2014-2016,288,NA,Thousand,Visits,All of GB
2015-2017,33,million (£),NA,Expenditure,England
2017-2019,176,NA,Thousand,Visits,Scotland
2015-2017,165,NA,Thousand,Visits,Scotland
2017-2019,734,NA,Thousand,Nights,All of GB
2017-2019,30,million (£),NA,Expenditure,Scotland
2017-2019,42,million (£),NA,Expenditure,All of GB
2017-2019,48,NA,Thousand,Visits,England
2013-2015,280,NA,Thousand,Visits,All of GB
2010-2012,21,million (£),NA,Expenditure,Scotland
2016-2018,25,million (£),NA,Expenditure,England
2016-2018,55,million (£),NA,Expenditure,All of GB
2014-2016,89,NA,Thousand,Visits,England
2012-2014,19,million (£),NA,Expenditure,England
2015-2017,66,million (£),NA,Expenditure,All of GB
2014-2016,198,NA,Thousand,Visits,Scotland
2015-2017,266,NA,Thousand,Visits,All of GB
2012-2014,78,NA,Thousand,Visits,England
2014-2016,39,million (£),NA,Expenditure,Scotland
2011-2013,94,NA,Thousand,Visits,England
2015-2017,101,NA,Thousand,Visits,England
2014-2016,28,million (£),NA,Expenditure,England
2012-2014,53,million (£),NA,Expenditure,All of GB
2010-2012,1361,NA,Thousand,Nights,All of GB
2017-2019,224,NA,Thousand,Visits,All of GB
2010-2012,104,NA,Thousand,Visits,England
2009-2011,24,million (£),NA,Expenditure,Scotland
2010-2012,260,NA,Thousand,Visits,All of GB
2011-2013,546,NA,Thousand,Nights,England
2016-2018,840,NA,Thousand,Nights,All of GB
2015-2017,33,million (£),NA,Expenditure,Scotland
2014-2016,679,NA,Thousand,Nights,Scotland
2012-2014,32,million (£),NA,Expenditure,Scotland
2013-2015,57,NA,Thousand,Visits,England
2011-2013,1071,NA,Thousand,Nights,All of GB
2009-2011,283,NA,Thousand,Visits,All of GB
2013-2015,739,NA,Thousand,Nights,Scotland
2012-2014,309,NA,Thousand,Nights,England
2011-2013,26,million (£),NA,Expenditure,Scotland
2009-2011,1565,NA,Thousand,Nights,All of GB
2009-2011,639,NA,Thousand,Nights,Scotland
2017-2019,12,million (£),NA,Expenditure,England
2013-2015,41,million (£),NA,Expenditure,Scotland
2015-2017,992,NA,Thousand,Nights,All of GB
2013-2015,934,NA,Thousand,Nights,All of GB
2012-2014,288,NA,Thousand,Visits,All of GB
2016-2018,164,NA,Thousand,Visits,Scotland
2014-2016,1026,NA,Thousand,Nights,All of GB
2017-2019,164,NA,Thousand,Nights,England
2016-2018,30,million (£),NA,Expenditure,Scotland
2010-2012,150,NA,Thousand,Visits,Scotland
2015-2017,626,NA,Thousand,Nights,Scotland
2009-2011,36,million (£),NA,Expenditure,England
2013-2015,195,NA,Thousand,Nights,England
2012-2014,597,NA,Thousand,Nights,Scotland
2010-2012,63,million (£),NA,Expenditure,All of GB
2010-2012,41,million (£),NA,Expenditure,England
2011-2013,60,million (£),NA,Expenditure,All of GB
2016-2018,511,NA,Thousand,Nights,Scotland
2017-2019,570,NA,Thousand,Nights,Scotland
2011-2013,502,NA,Thousand,Nights,Scotland
2014-2016,68,million (£),NA,Expenditure,All of GB
2011-2013,274,NA,Thousand,Visits,All of GB
2014-2016,347,NA,Thousand,Nights,England
2016-2018,246,NA,Thousand,Visits,All of GB
2011-2013,33,million (£),NA,Expenditure,England
2009-2011,190,NA,Thousand,Visits,Scotland
2009-2011,905,NA,Thousand,Nights,England
2010-2012,414,NA,Thousand,Nights,Scotland
2016-2018,82,NA,Thousand,Visits,England
2016-2018,46,million (£),NA,Expenditure,All of GB
2009-2011,11,million (£),NA,Expenditure,England
2010-2012,456,NA,Thousand,Nights,All of GB
2013-2015,243,NA,Thousand,Nights,England
2009-2011,380,NA,Thousand,Nights,All of GB
2010-2012,12,million (£),NA,Expenditure,England
2012-2014,355,NA,Thousand,Nights,England
2014-2016,16,million (£),NA,Expenditure,England
2013-2015,327,NA,Thousand,Nights,All of GB
2016-2018,24,million (£),NA,Expenditure,England
2015-2017,20,million (£),NA,Expenditure,England
2017-2019,23,million (£),NA,Expenditure,England
2010-2012,10,million (£),NA,Expenditure,Scotland
2012-2014,19,million (£),NA,Expenditure,England
2011-2013,15,million (£),NA,Expenditure,England
2016-2018,507,NA,Thousand,Nights,All of GB
2016-2018,22,million (£),NA,Expenditure,Scotland
2015-2017,428,NA,Thousand,Nights,All of GB
2013-2015,21,million (£),NA,Expenditure,All of GB
2015-2017,40,million (£),NA,Expenditure,All of GB
2014-2016,32,million (£),NA,Expenditure,All of GB
2011-2013,24,million (£),NA,Expenditure,All of GB
2011-2013,457,NA,Thousand,Nights,All of GB
2011-2013,297,NA,Thousand,Nights,England
2009-2011,25,million (£),NA,Expenditure,All of GB
2010-2012,238,NA,Thousand,Nights,England
2010-2012,22,million (£),NA,Expenditure,All of GB
2013-2015,17,million (£),NA,Expenditure,England
2012-2014,177,NA,Thousand,Nights,Scotland
2011-2013,9,million (£),NA,Expenditure,Scotland
2017-2019,533,NA,Thousand,Nights,All of GB
2014-2016,378,NA,Thousand,Nights,All of GB
2012-2014,28,million (£),NA,Expenditure,All of GB
2015-2017,20,million (£),NA,Expenditure,Scotland
2017-2019,15,million (£),NA,Expenditure,Scotland
2013-2015,3,million (£),NA,Expenditure,Scotland
2012-2014,9,million (£),NA,Expenditure,Scotland
2010-2012,218,NA,Thousand,Nights,Scotland
2015-2017,217,NA,Thousand,Nights,England
2014-2016,15,million (£),NA,Expenditure,Scotland
2017-2019,38,million (£),NA,Expenditure,All of GB
2009-2011,14,million (£),NA,Expenditure,Scotland
2011-2013,158,NA,Thousand,Nights,Scotland
2017-2019,217,NA,Thousand,Nights,England
2017-2019,40,NA,Thousand,Visits,England
2016-2018,249,NA,Thousand,Nights,Scotland
2013-2015,30,NA,Thousand,Visits,England
2011-2013,70,NA,Thousand,Visits,All of GB
2015-2017,75,NA,Thousand,Visits,All of GB
2014-2016,132,NA,Thousand,Nights,Scotland
2011-2013,34,NA,Thousand,Visits,Scotland
2017-2019,92,NA,Thousand,Visits,All of GB
2015-2017,44,NA,Thousand,Visits,England
2013-2015,18,NA,Thousand,Visits,Scotland
2012-2014,36,NA,Thousand,Visits,England
2017-2019,316,NA,Thousand,Nights,Scotland
2015-2017,211,NA,Thousand,Nights,Scotland
2010-2012,43,NA,Thousand,Visits,Scotland
2009-2011,37,NA,Thousand,Visits,England
2012-2014,36,NA,Thousand,Visits,Scotland
2016-2018,41,NA,Thousand,Visits,Scotland
2013-2015,51,NA,Thousand,Visits,All of GB
2012-2014,76,NA,Thousand,Visits,All of GB
2016-2018,96,NA,Thousand,Visits,All of GB
2016-2018,258,NA,Thousand,Nights,England
2014-2016,246,NA,Thousand,Nights,England
2009-2011,37,NA,Thousand,Visits,Scotland
2011-2013,33,NA,Thousand,Visits,England
2014-2016,40,NA,Thousand,Visits,England
2016-2018,55,NA,Thousand,Visits,England
2014-2016,25,NA,Thousand,Visits,Scotland
2010-2012,71,NA,Thousand,Visits,All of GB
2017-2019,51,NA,Thousand,Visits,Scotland
2009-2011,75,NA,Thousand,Visits,All of GB
2012-2014,535,NA,Thousand,Nights,All of GB
2015-2017,31,NA,Thousand,Visits,Scotland
2009-2011,175,NA,Thousand,Nights,England
2009-2011,205,NA,Thousand,Nights,Scotland
2013-2015,82,NA,Thousand,Nights,Scotland
2010-2012,28,NA,Thousand,Visits,England
2014-2016,66,NA,Thousand,Visits,All of GB
2012-2014,704,NA,Thousand,Nights,England
2017-2019,188,NA,Thousand,Visits,England
2011-2013,1329,NA,Thousand,Nights,All of GB
2013-2015,735,NA,Thousand,Nights,England
2013-2015,352,NA,Thousand,Visits,All of GB
2009-2011,695,NA,Thousand,Nights,England
2013-2015,146,NA,Thousand,Visits,Scotland
2013-2015,200,NA,Thousand,Visits,England
2014-2016,19,million (£),NA,Expenditure,Scotland
2011-2013,207,NA,Thousand,Visits,England
2009-2011,1203,NA,Thousand,Nights,All of GB
2009-2011,71,million (£),NA,Expenditure,All of GB
2014-2016,284,NA,Thousand,Nights,Scotland
2009-2011,209,NA,Thousand,Visits,England
2016-2018,55,million (£),NA,Expenditure,All of GB
2012-2014,69,million (£),NA,Expenditure,All of GB
2013-2015,1147,NA,Thousand,Nights,All of GB
2015-2017,33,million (£),NA,Expenditure,England
2009-2011,194,NA,Thousand,Visits,Scotland
2013-2015,73,million (£),NA,Expenditure,All of GB
2014-2016,118,NA,Thousand,Visits,Scotland
2017-2019,340,NA,Thousand,Visits,All of GB
2016-2018,21,million (£),NA,Expenditure,Scotland
2015-2017,277,NA,Thousand,Visits,All of GB
2011-2013,728,NA,Thousand,Nights,England
2011-2013,386,NA,Thousand,Visits,All of GB
2011-2013,74,million (£),NA,Expenditure,All of GB
2010-2012,384,NA,Thousand,Visits,All of GB
2010-2012,206,NA,Thousand,Visits,England
2012-2014,40,million (£),NA,Expenditure,England
2015-2017,104,NA,Thousand,Visits,Scotland
2010-2012,42,million (£),NA,Expenditure,England
2015-2017,169,NA,Thousand,Visits,England
2016-2018,32,million (£),NA,Expenditure,England
2012-2014,354,NA,Thousand,Visits,All of GB
2016-2018,179,NA,Thousand,Visits,England
2015-2017,19,million (£),NA,Expenditure,Scotland
2010-2012,175,NA,Thousand,Visits,Scotland
2017-2019,1137,NA,Thousand,Nights,All of GB
2016-2018,127,NA,Thousand,Visits,Scotland
2013-2015,28,million (£),NA,Expenditure,Scotland
2009-2011,404,NA,Thousand,Visits,All of GB
2012-2014,148,NA,Thousand,Visits,Scotland
2016-2018,256,NA,Thousand,Nights,Scotland
2015-2017,852,NA,Thousand,Nights,All of GB
2011-2013,570,NA,Thousand,Nights,Scotland
2013-2015,388,NA,Thousand,Nights,Scotland
2014-2016,947,NA,Thousand,Nights,All of GB
2015-2017,598,NA,Thousand,Nights,England
2009-2011,42,million (£),NA,Expenditure,England
2009-2011,507,NA,Thousand,Nights,Scotland
2010-2012,65,million (£),NA,Expenditure,All of GB
2014-2016,638,NA,Thousand,Nights,England
2011-2013,41,million (£),NA,Expenditure,England
2014-2016,33,million (£),NA,Expenditure,England
2017-2019,705,NA,Thousand,Nights,England
2014-2016,53,million (£),NA,Expenditure,All of GB
2011-2013,174,NA,Thousand,Visits,Scotland
2012-2014,487,NA,Thousand,Nights,Scotland
2010-2012,578,NA,Thousand,Nights,Scotland
2013-2015,44,million (£),NA,Expenditure,England
2017-2019,37,million (£),NA,Expenditure,England
2017-2019,387,NA,Thousand,Nights,Scotland
2014-2016,172,NA,Thousand,Visits,England
2012-2014,198,NA,Thousand,Visits,England
2017-2019,144,NA,Thousand,Visits,Scotland
2015-2017,53,million (£),NA,Expenditure,All of GB
2016-2018,311,NA,Thousand,Visits,All of GB
2010-2012,22,million (£),NA,Expenditure,Scotland
2014-2016,295,NA,Thousand,Visits,All of GB
2015-2017,235,NA,Thousand,Nights,Scotland
2010-2012,1323,NA,Thousand,Nights,All of GB
2012-2014,27,million (£),NA,Expenditure,Scotland
2017-2019,24,million (£),NA,Expenditure,Scotland
2017-2019,63,million (£),NA,Expenditure,All of GB
2010-2012,724,NA,Thousand,Nights,England
2012-2014,1236,NA,Thousand,Nights,All of GB
2016-2018,912,NA,Thousand,Nights,All of GB
2009-2011,29,million (£),NA,Expenditure,Scotland
2011-2013,31,million (£),NA,Expenditure,Scotland
2016-2018,637,NA,Thousand,Nights,England
2011-2013,243,NA,Thousand,Nights,Scotland
2010-2012,25,million (£),NA,Expenditure,All of GB
2012-2014,425,NA,Thousand,Nights,Scotland
2015-2017,426,NA,Thousand,Nights,All of GB
2016-2018,186,NA,Thousand,Nights,Scotland
2017-2019,4,million (£),NA,Expenditure,England
2009-2011,8,million (£),NA,Expenditure,England
2015-2017,5,million (£),NA,Expenditure,Scotland
2010-2012,212,NA,Thousand,Nights,All of GB
2011-2013,60,NA,Thousand,Visits,All of GB
2013-2015,770,NA,Thousand,Nights,All of GB
2009-2011,42,NA,Thousand,Nights,Scotland
2011-2013,25,NA,Thousand,Visits,Scotland
2009-2011,12,NA,Thousand,Visits,Scotland
2013-2015,39,million (£),NA,Expenditure,All of GB
2010-2012,44,NA,Thousand,Visits,All of GB
2011-2013,280,NA,Thousand,Nights,England
2010-2012,17,NA,Thousand,Visits,Scotland
2012-2014,39,NA,Thousand,Visits,Scotland
2015-2017,49,NA,Thousand,Visits,All of GB
2017-2019,98,NA,Thousand,Nights,England
2010-2012,14,million (£),NA,Expenditure,Scotland
2016-2018,375,NA,Thousand,Nights,All of GB
2013-2015,605,NA,Thousand,Nights,England
2014-2016,19,million (£),NA,Expenditure,England
2011-2013,22,million (£),NA,Expenditure,England
2012-2014,75,NA,Thousand,Visits,All of GB
2014-2016,36,NA,Thousand,Visits,England
2011-2013,523,NA,Thousand,Nights,All of GB
2015-2017,17,NA,Thousand,Visits,Scotland
2014-2016,505,NA,Thousand,Nights,England
2013-2015,68,NA,Thousand,Visits,All of GB
2011-2013,9,million (£),NA,Expenditure,Scotland
2014-2016,306,NA,Thousand,Nights,Scotland
2014-2016,627,NA,Thousand,Nights,All of GB
2010-2012,101,NA,Thousand,Nights,England
2010-2012,26,NA,Thousand,Visits,England
2009-2011,37,NA,Thousand,Visits,All of GB
2013-2015,350,NA,Thousand,Nights,Scotland
2015-2017,32,NA,Thousand,Visits,England
2012-2014,20,million (£),NA,Expenditure,Scotland
2017-2019,251,NA,Thousand,Nights,All of GB
2016-2018,45,NA,Thousand,Visits,All of GB
2016-2018,16,NA,Thousand,Visits,Scotland
2017-2019,2,million (£),NA,Expenditure,Scotland
2012-2014,543,NA,Thousand,Nights,England
2013-2015,36,NA,Thousand,Visits,England
2013-2015,32,NA,Thousand,Visits,Scotland
2016-2018,3,million (£),NA,Expenditure,Scotland
2015-2017,19,million (£),NA,Expenditure,All of GB
2013-2015,15,million (£),NA,Expenditure,Scotland
2016-2018,15,million (£),NA,Expenditure,All of GB
2009-2011,19,million (£),NA,Expenditure,All of GB
2011-2013,35,NA,Thousand,Visits,England
2014-2016,65,NA,Thousand,Visits,All of GB
2014-2016,33,million (£),NA,Expenditure,All of GB
2014-2016,14,million (£),NA,Expenditure,Scotland
2012-2014,22,million (£),NA,Expenditure,England
2017-2019,31,NA,Thousand,Visits,All of GB
2009-2011,9,million (£),NA,Expenditure,Scotland
2016-2018,189,NA,Thousand,Nights,England
2012-2014,42,million (£),NA,Expenditure,All of GB
2011-2013,31,million (£),NA,Expenditure,All of GB
2009-2011,18,NA,Thousand,Visits,England
2016-2018,13,million (£),NA,Expenditure,England
2015-2017,143,NA,Thousand,Nights,Scotland
2017-2019,13,NA,Thousand,Visits,Scotland
2010-2012,95,NA,Thousand,Nights,Scotland
2017-2019,18,NA,Thousand,Visits,England
2010-2012,10,million (£),NA,Expenditure,England
2015-2017,15,million (£),NA,Expenditure,England
2012-2014,36,NA,Thousand,Visits,England
2017-2019,152,NA,Thousand,Nights,Scotland
2016-2018,29,NA,Thousand,Visits,England
2009-2011,150,NA,Thousand,Nights,All of GB
2014-2016,29,NA,Thousand,Visits,Scotland
2013-2015,23,million (£),NA,Expenditure,England
2017-2019,7,million (£),NA,Expenditure,All of GB
2009-2011,54,NA,Thousand,Nights,England
2015-2017,283,NA,Thousand,Nights,England
2012-2014,784,NA,Thousand,Nights,All of GB
2013-2015,29,million (£),NA,Expenditure,Scotland
2011-2013,72,million (£),NA,Expenditure,All of GB
2016-2018,354,NA,Thousand,Visits,All of GB
2011-2013,43,million (£),NA,Expenditure,England
2012-2014,362,NA,Thousand,Visits,All of GB
2016-2018,46,million (£),NA,Expenditure,England
2017-2019,163,NA,Thousand,Visits,England
2017-2019,208,NA,Thousand,Visits,Scotland
2011-2013,492,NA,Thousand,Nights,Scotland
2017-2019,36,million (£),NA,Expenditure,Scotland
2014-2016,636,NA,Thousand,Nights,Scotland
2012-2014,23,million (£),NA,Expenditure,Scotland
2016-2018,40,million (£),NA,Expenditure,Scotland
2017-2019,726,NA,Thousand,Nights,Scotland
2015-2017,71,million (£),NA,Expenditure,All of GB
2016-2018,217,NA,Thousand,Visits,Scotland
2010-2012,1205,NA,Thousand,Nights,All of GB
2014-2016,100,NA,Thousand,Visits,England
2011-2013,1222,NA,Thousand,Nights,All of GB
2017-2019,45,million (£),NA,Expenditure,England
2015-2017,205,NA,Thousand,Visits,Scotland
2015-2017,939,NA,Thousand,Nights,All of GB
2011-2013,320,NA,Thousand,Visits,All of GB
2014-2016,955,NA,Thousand,Nights,All of GB
2010-2012,24,million (£),NA,Expenditure,Scotland
2010-2012,34,million (£),NA,Expenditure,England
2010-2012,535,NA,Thousand,Nights,Scotland
2012-2014,168,NA,Thousand,Visits,England
2012-2014,194,NA,Thousand,Visits,Scotland
2011-2013,721,NA,Thousand,Nights,England
2014-2016,29,million (£),NA,Expenditure,England
2009-2011,45,million (£),NA,Expenditure,England
2009-2011,156,NA,Thousand,Visits,England
2012-2014,38,million (£),NA,Expenditure,England
2015-2017,99,NA,Thousand,Visits,England
2015-2017,349,NA,Thousand,Nights,England
2011-2013,19,million (£),NA,Expenditure,Scotland
2013-2015,616,NA,Thousand,Nights,Scotland
2010-2012,67,million (£),NA,Expenditure,All of GB
2016-2018,617,NA,Thousand,Nights,England
2009-2011,682,NA,Thousand,Nights,Scotland
2012-2014,539,NA,Thousand,Nights,Scotland
2013-2015,28,million (£),NA,Expenditure,England
2016-2018,86,million (£),NA,Expenditure,All of GB
2014-2016,343,NA,Thousand,Visits,All of GB
2014-2016,37,million (£),NA,Expenditure,Scotland
2009-2011,83,million (£),NA,Expenditure,All of GB
2011-2013,158,NA,Thousand,Visits,England
2010-2012,305,NA,Thousand,Visits,All of GB
2013-2015,661,NA,Thousand,Nights,England
2009-2011,1361,NA,Thousand,Nights,All of GB
2013-2015,57,million (£),NA,Expenditure,All of GB
2013-2015,134,NA,Thousand,Visits,England
2016-2018,765,NA,Thousand,Nights,Scotland
2010-2012,171,NA,Thousand,Visits,Scotland
2014-2016,67,million (£),NA,Expenditure,All of GB
2014-2016,525,NA,Thousand,Nights,England
2012-2014,918,NA,Thousand,Nights,England
2017-2019,373,NA,Thousand,Visits,All of GB
2011-2013,159,NA,Thousand,Visits,Scotland
2014-2016,243,NA,Thousand,Visits,Scotland
2010-2012,128,NA,Thousand,Visits,England
2009-2011,382,NA,Thousand,Visits,All of GB
2012-2014,61,million (£),NA,Expenditure,All of GB
2015-2017,304,NA,Thousand,Visits,All of GB
2017-2019,82,million (£),NA,Expenditure,All of GB
2012-2014,1251,NA,Thousand,Nights,All of GB
2013-2015,239,NA,Thousand,Visits,Scotland
2017-2019,761,NA,Thousand,Nights,England
2017-2019,1493,NA,Thousand,Nights,All of GB
2016-2018,135,NA,Thousand,Visits,England
2016-2018,1388,NA,Thousand,Nights,All of GB
2009-2011,216,NA,Thousand,Visits,Scotland
2015-2017,36,million (£),NA,Expenditure,Scotland
2015-2017,35,million (£),NA,Expenditure,England
2009-2011,620,NA,Thousand,Nights,England
2013-2015,373,NA,Thousand,Visits,All of GB
2013-2015,1069,NA,Thousand,Nights,All of GB
2015-2017,590,NA,Thousand,Nights,Scotland
2010-2012,641,NA,Thousand,Nights,England
2009-2011,28,million (£),NA,Expenditure,Scotland
2015-2017,129,NA,Thousand,Visits,All of GB
2010-2012,26,million (£),NA,Expenditure,All of GB
2016-2018,270,NA,Thousand,Nights,England
2009-2011,242,NA,Thousand,Nights,England
2017-2019,48,NA,Thousand,Nights,Scotland
2012-2014,75,NA,Thousand,Visits,Scotland
2009-2011,12,million (£),NA,Expenditure,England
2017-2019,94,NA,Thousand,Visits,England
2017-2019,15,million (£),NA,Expenditure,England
2013-2015,62,NA,Thousand,Visits,England
2016-2018,108,NA,Thousand,Visits,England
2014-2016,3,million (£),NA,Expenditure,Scotland
2016-2018,22,million (£),NA,Expenditure,All of GB
2017-2019,39,NA,Thousand,Visits,Scotland
2009-2011,10,million (£),NA,Expenditure,Scotland
2010-2012,13,million (£),NA,Expenditure,England
2011-2013,106,NA,Thousand,Visits,Scotland
2011-2013,195,NA,Thousand,Nights,Scotland
2012-2014,19,million (£),NA,Expenditure,All of GB
2016-2018,140,NA,Thousand,Visits,All of GB
2015-2017,3,million (£),NA,Expenditure,Scotland
2015-2017,24,million (£),NA,Expenditure,All of GB
2016-2018,17,million (£),NA,Expenditure,England
2009-2011,65,NA,Thousand,Visits,England
2012-2014,149,NA,Thousand,Nights,Scotland
2009-2011,24,million (£),NA,Expenditure,All of GB
2011-2013,220,NA,Thousand,Nights,England
2010-2012,292,NA,Thousand,Nights,Scotland
2015-2017,87,NA,Thousand,Visits,England
2011-2013,25,million (£),NA,Expenditure,All of GB
2012-2014,8,million (£),NA,Expenditure,Scotland
2015-2017,53,NA,Thousand,Nights,Scotland
2013-2015,47,NA,Thousand,Visits,Scotland
2017-2019,5,million (£),NA,Expenditure,Scotland
2011-2013,14,million (£),NA,Expenditure,England
2014-2016,22,million (£),NA,Expenditure,All of GB
2009-2011,261,NA,Thousand,Nights,Scotland
2014-2016,28,NA,Thousand,Visits,Scotland
2014-2016,16,million (£),NA,Expenditure,England
2014-2016,204,NA,Thousand,Nights,England
2010-2012,517,NA,Thousand,Nights,All of GB
2009-2011,183,NA,Thousand,Visits,All of GB
2010-2012,126,NA,Thousand,Visits,Scotland
2017-2019,283,NA,Thousand,Nights,England
2016-2018,29,NA,Thousand,Visits,Scotland
2011-2013,178,NA,Thousand,Visits,All of GB
2015-2017,18,million (£),NA,Expenditure,England
2012-2014,135,NA,Thousand,Visits,All of GB
2017-2019,348,NA,Thousand,Nights,All of GB
2013-2015,119,NA,Thousand,Visits,All of GB
2015-2017,289,NA,Thousand,Nights,All of GB
2009-2011,533,NA,Thousand,Nights,All of GB
2013-2015,6,million (£),NA,Expenditure,Scotland
2016-2018,40,NA,Thousand,Nights,Scotland
2014-2016,83,NA,Thousand,Visits,England
2011-2013,429,NA,Thousand,Nights,All of GB
2012-2014,11,million (£),NA,Expenditure,England
2016-2018,323,NA,Thousand,Nights,All of GB
2011-2013,10,million (£),NA,Expenditure,Scotland
2013-2015,181,NA,Thousand,Nights,England
2016-2018,4,million (£),NA,Expenditure,Scotland
2014-2016,55,NA,Thousand,Nights,Scotland
2013-2015,266,NA,Thousand,Nights,All of GB
2010-2012,69,NA,Thousand,Visits,England
2012-2014,296,NA,Thousand,Nights,All of GB
2015-2017,210,NA,Thousand,Nights,England
2011-2013,70,NA,Thousand,Visits,England
2013-2015,23,million (£),NA,Expenditure,All of GB
2009-2011,113,NA,Thousand,Visits,Scotland
2015-2017,29,NA,Thousand,Visits,Scotland
2012-2014,60,NA,Thousand,Visits,England
2010-2012,196,NA,Thousand,Visits,All of GB
2014-2016,252,NA,Thousand,Nights,All of GB
2010-2012,211,NA,Thousand,Nights,England
2010-2012,12,million (£),NA,Expenditure,Scotland
2014-2016,121,NA,Thousand,Visits,All of GB
2017-2019,139,NA,Thousand,Visits,All of GB
2012-2014,167,NA,Thousand,Nights,England
2013-2015,15,million (£),NA,Expenditure,England
2013-2015,91,NA,Thousand,Nights,Scotland
2017-2019,20,million (£),NA,Expenditure,All of GB
2010-2012,1236,NA,Thousand,Nights,All of GB
2013-2015,40,million (£),NA,Expenditure,Scotland
2017-2019,955,NA,Thousand,Nights,All of GB
2013-2015,509,NA,Thousand,Nights,Scotland
2015-2017,75,million (£),NA,Expenditure,All of GB
2010-2012,721,NA,Thousand,Nights,England
2010-2012,72,million (£),NA,Expenditure,All of GB
2011-2013,233,NA,Thousand,Visits,Scotland
2015-2017,1137,NA,Thousand,Nights,All of GB
2011-2013,684,NA,Thousand,Nights,England
2016-2018,130,NA,Thousand,Visits,England
2010-2012,366,NA,Thousand,Visits,All of GB
2012-2014,393,NA,Thousand,Visits,All of GB
2011-2013,528,NA,Thousand,Nights,Scotland
2015-2017,34,million (£),NA,Expenditure,Scotland
2016-2018,331,NA,Thousand,Visits,All of GB
2010-2012,203,NA,Thousand,Visits,Scotland
2010-2012,152,NA,Thousand,Visits,England
2012-2014,1114,NA,Thousand,Nights,All of GB
2011-2013,34,million (£),NA,Expenditure,Scotland
2015-2017,447,NA,Thousand,Nights,Scotland
2009-2011,174,NA,Thousand,Visits,England
2014-2016,177,NA,Thousand,Visits,England
2017-2019,40,million (£),NA,Expenditure,Scotland
2016-2018,36,million (£),NA,Expenditure,Scotland
2009-2011,1287,NA,Thousand,Nights,All of GB
2016-2018,445,NA,Thousand,Nights,Scotland
2017-2019,126,NA,Thousand,Visits,England
2013-2015,46,million (£),NA,Expenditure,England
2013-2015,87,million (£),NA,Expenditure,All of GB
2009-2011,66,million (£),NA,Expenditure,All of GB
2009-2011,362,NA,Thousand,Visits,All of GB
2010-2012,23,million (£),NA,Expenditure,Scotland
2017-2019,383,NA,Thousand,Visits,All of GB
2016-2018,461,NA,Thousand,Nights,England
2012-2014,752,NA,Thousand,Nights,England
2013-2015,809,NA,Thousand,Nights,England
2012-2014,228,NA,Thousand,Visits,Scotland
2011-2013,1266,NA,Thousand,Nights,All of GB
2011-2013,154,NA,Thousand,Visits,England
2013-2015,432,NA,Thousand,Visits,All of GB
2015-2017,211,NA,Thousand,Visits,Scotland
2016-2018,934,NA,Thousand,Nights,All of GB
2014-2016,80,million (£),NA,Expenditure,All of GB
2016-2018,192,NA,Thousand,Visits,Scotland
2014-2016,436,NA,Thousand,Visits,All of GB
2009-2011,184,NA,Thousand,Visits,Scotland
2014-2016,557,NA,Thousand,Nights,Scotland
2015-2017,39,million (£),NA,Expenditure,England
2014-2016,781,NA,Thousand,Nights,England
2013-2015,243,NA,Thousand,Visits,Scotland
2011-2013,40,million (£),NA,Expenditure,England
2015-2017,402,NA,Thousand,Visits,All of GB
2017-2019,67,million (£),NA,Expenditure,All of GB
2010-2012,42,million (£),NA,Expenditure,England
2009-2011,873,NA,Thousand,Nights,England
2016-2018,27,million (£),NA,Expenditure,England
2014-2016,41,million (£),NA,Expenditure,England
2013-2015,181,NA,Thousand,Visits,England
2013-2015,1175,NA,Thousand,Nights,All of GB
2014-2016,38,million (£),NA,Expenditure,Scotland
2012-2014,40,million (£),NA,Expenditure,England
2015-2017,176,NA,Thousand,Visits,England
2017-2019,248,NA,Thousand,Visits,Scotland
2012-2014,507,NA,Thousand,Nights,Scotland
2012-2014,83,million (£),NA,Expenditure,All of GB
2014-2016,246,NA,Thousand,Visits,Scotland
2017-2019,406,NA,Thousand,Nights,England
2011-2013,81,million (£),NA,Expenditure,All of GB
2012-2014,37,million (£),NA,Expenditure,Scotland
2016-2018,64,million (£),NA,Expenditure,All of GB
2014-2016,1206,NA,Thousand,Nights,All of GB
2009-2011,410,NA,Thousand,Nights,Scotland
2015-2017,621,NA,Thousand,Nights,England
2009-2011,17,million (£),NA,Expenditure,Scotland
2017-2019,25,million (£),NA,Expenditure,England
2011-2013,399,NA,Thousand,Visits,All of GB
2012-2014,157,NA,Thousand,Visits,England
2009-2011,48,million (£),NA,Expenditure,England
2010-2012,465,NA,Thousand,Nights,Scotland
2017-2019,503,NA,Thousand,Nights,Scotland
2010-2012,744,NA,Thousand,Visits,All of GB
2009-2011,736,NA,Thousand,Visits,All of GB
2017-2019,111,million (£),NA,Expenditure,All of GB
2011-2013,447,NA,Thousand,Visits,Scotland
2015-2017,156,million (£),NA,Expenditure,All of GB
2016-2018,128,million (£),NA,Expenditure,All of GB
2014-2016,167,million (£),NA,Expenditure,All of GB
2012-2014,395,NA,Thousand,Visits,Scotland
2013-2015,54,million (£),NA,Expenditure,Scotland
